"GROUP_ID","GROUP_NAME","FIRST_DEPT_ID","FIRST_DEPT","SECOND_DEPT_ID","SECOND_DEPT","Z_QUARTER","ISCPX","ACTUAL","TARGET","MTAR","MACT"
"482","网络安全与信息技术装备事业群","322","第七事业部","487","无线产品线","3","1","0","2480","3834.0875","0"
"482","网络安全与信息技术装备事业群","322","第七事业部","487","无线产品线","4","1","0","2720","7456.8125","0"
"482","网络安全与信息技术装备事业群","483","第十事业部","489","TZ产品线","1","1","51.29424","750","750","51.29424"
"482","网络安全与信息技术装备事业群","483","第十事业部","489","TZ产品线","2","1","99.71","1000","1349.35288","99.71"
"482","网络安全与信息技术装备事业群","483","第十事业部","489","TZ产品线","3","1","0","1550","2509.397456","0"
"482","网络安全与信息技术装备事业群","483","第十事业部","489","TZ产品线","4","1","0","1700","4848.99576","0"
"482","网络安全与信息技术装备事业群","483","第十事业部","490","态势感知产品线","1","1","40.570175","450","450","40.570175"
"482","网络安全与信息技术装备事业群","483","第十事业部","490","态势感知产品线","2","1","42.4","600","804.7149125","42.4"
"482","网络安全与信息技术装备事业群","483","第十事业部","490","态势感知产品线","3","1","0","930","1510.217895","0"
"482","网络安全与信息技术装备事业群","483","第十事业部","490","态势感知产品线","4","1","0","1020","2917.029825","0"
"482","网络安全与信息技术装备事业群","483","第十事业部","491","数据交换平台产品线","1","1","112.66","600","600","112.66"
"482","网络安全与信息技术装备事业群","483","第十事业部","491","数据交换平台产品线","2","1","70","800","1043.67","70"
"482","网络安全与信息技术装备事业群","483","第十事业部","491","数据交换平台产品线","3","1","0","1240","1970.404","0"
"482","网络安全与信息技术装备事业群","483","第十事业部","491","数据交换平台产品线","4","1","0","1360","3817.34","0"
